,nome,masc
1,Lana Dyae de Angola,False
7,Paula Vavo,False
8,Laís Maíra de Lima Doamvic,False
10,Suely Madalena de Barbosa da Silva,False
12,Rosângela da Silva,False
13,Bernadete Vitória de Noronha Mizowoda Niihere,False
14,Cristina Lina Dutra Vezo,False
15,Amanda Ana Naleli,False
16,Gabriela Castelo Milani,False
17,Bella Yolanda de Miranda,False
18,Márcia Igreja,False
19,Patrícia Amália Hitogoki,False
20,Carla Fernanda de Paranhos,False
23,Luzimara de Figueira,False
26,Yasmin Marques Mogopu,False
27,Suzana Carolina Ribeiro,False
29,Melissa Tainá de Duarte,False
33,Lígia de Oliveira,False
34,Rosângela de Cerqueira Ximiman,False
37,Janaína Brasil,False
41,Andressa Flaviana Foeurneson de Paranhos,False
44,Marciane Sandra de Vasconcelos Pinhão,False
45,Rosilda Olga Dutra de Pascoal,False
47,Bianca de Lins,False
50,Clotilde de Farias,False
54,Carla de Pinheiro Imha,False
55,Jaqueline Amélia de Pereira do Piauí,False
57,Celeste Talita Muemage,False
58,Ariel Fabíola Weoi Klein dos Santos,False
60,Alana da Silva,False
65,Ivanete Otávia de Padilha Rosatto,False
67,Bárbara de Barbosa,False
70,Milene Branco,False
71,Jeniffer Lidizrimre,False
72,Lúcia Eleonora Beuapi Terceiro,False
76,Zulmira Hodeton Dryo,False
77,Nádia Elaine Branco,False
78,Samila Ana Egreov,False
81,Roberta Enam Aserruão Valverde,False
85,Lana Gomes Lisciman,False
86,Rosana Isho,False
89,Carla do Vale,False
90,Hilda Soguna,False
92,Maria Isabel de Pereira dos Santos,False
94,Lúcia Peplelssasguan Aplarni,False
96,Zulmira Pimenta,False
97,Dara de Malta da Silva Sonviynu,False
